
================================================================================
Started Logging:     25.09.2024  13:26
Quantum Version:     Not available
================================================================================

25.09.2024 13:26:21 QC-Terminal: Serial port COM2

25.09.2024 13:26:28 QC-Terminal: Serial port COM3
help

ERR 08:47:30:634  SPC: MsgTableID_Int: pMSG->Ct.TransMsg.SpsNo 80 not valid - MsgID 0d
DEB 08:47:30:649  A380D5800A
DEB 08:47:30:666  HW S01.10
DEB 08:47:30:693  SW S03.00
DEB 08:47:30:710  Temp. 350
DEB 08:47:30:727  V1 out 19952
DEB 08:47:30:752  I1 out 125
DEB 08:47:30:770  P1 out 2375
DEB 08:47:30:788  V2 out 0
DEB 08:47:30:808  Err Reg. 0
DEB 08:47:30:833  DS cond. ffffffd5
DEB 08:47:30:847  DFS cond. ffffffd5
DEB 08:47:30:847  Para_PS_Upload_seq end
WAR 08:47:35:337  01 Access_Para PG not mapped
WAR 08:47:35:397  01 Access_Para PG not mapped
WAR 08:47:35:457  01 Access_Para PG not mapped
WAR 08:47:35:561  01 Access_Para PG not mapped
WAR 08:47:35:622  01 Access_Para PG not mapped
WAR 08:47:35:681  01 Access_Para PG not mapped
WAR 08:47:35:741  01 Access_Para PG not mapped
WAR 08:47:35:802  01 Access_Para PG not mapped
WAR 08:47:35:861  01 Access_Para PG not mapped
WAR 08:47:35:922  01 Access_Para PG not mapped
WAR 08:47:35:981  01 Access_Para PG not mapped
WAR 08:47:36:041  01 Access_Para PG not mapped
WAR 08:47:36:102  01 Access_Para PG not mapped
WAR 08:47:36:161  01 Access_Para PG not mapped
WAR 08:47:36:222  01 Access_Para PG not mapped
WAR 08:47:36:281  01 Access_Para PG not mapped
WAR 08:47:36:341  01 Access_Para PG not mapped
WAR 08:47:36:401  01 Access_Para PG not mapped
WAR 08:47:36:461  01 Access_Para PG not mapped
WAR 08:47:36:522  01 Access_Para PG not mapped
WAR 08:47:36:581  01 Access_Para PG not mapped
WAR 08:47:36:641  01 Access_Para PG not mapped
WAR 08:47:36:701  01 Access_Para PG not mapped
WAR 08:47:36:761  01 Access_Para PG not mapped
WAR 08:47:37:072  01 Access_Para PG not mapped
WAR 08:47:37:131  01 Access_Para PG not mapped
WAR 08:47:37:191  01 Access_Para PG not mapped
WAR 08:47:37:251  01 Access_Para PG not mapped
WAR 08:47:37:312  01 Access_Para PG not mapped
WAR 08:47:37:372  01 Access_Para PG not mapped
WAR 08:47:37:431  01 Access_Para PG not mapped
WAR 08:47:37:491  01 Access_Para PG not mapped
WAR 08:47:37:552  01 Access_Para PG not mapped
